iso,name,UNDP 52,All developing,Region,IMF,LIC,LMC,UMC,MIC,LDC,SIDS,Poorest,HIPC,Very high HDI,High HDI,Medium HDI,Low HDI,LLDC
SRB,Serbia,0,1,Europe & Central Asia,EM,0,0,1,1,0,0,0,0,1,0,0,0,0
SLE,Sierra Leone,1,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,1,0,0,0,1,0
SLB,Solomon Islands,1,1,East Asia & Pacific,LIDC,0,1,0,1,1,1,1,0,0,0,1,0,0
SOM,Somalia,1,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,0,0,0,0,0,0
ZAF,South Africa,0,1,Sub-Saharan Africa,EM,0,0,1,1,0,0,0,0,0,1,0,0,0
SSD,South Sudan,1,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,0,0,0,0,1,1
LKA,Sri Lanka,1,1,South Asia,EM,0,1,0,1,0,0,1,0,0,1,0,0,0
LCA,St. Lucia,0,1,Latin America & Caribbean,EM,0,0,1,1,0,1,1,0,0,1,0,0,0
VCT,St. Vincent and the Grenadines,0,1,Latin America & Caribbean,EM,0,0,1,1,0,1,1,0,0,1,0,0,0
SDN,Sudan,1,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,0,0,0,0,1,0
SUR,Suriname,1,1,Latin America & Caribbean,EM,0,0,1,1,0,1,0,0,0,1,0,0,0
SYR,Syrian Arab Republic,0,1,Middle East & North Africa,..,1,0,0,0,0,0,1,0,0,0,1,0,0
TJK,Tajikistan,1,1,Europe & Central Asia,LIDC,0,1,0,1,0,0,1,0,0,0,1,0,1
TZA,Tanzania,0,1,Sub-Saharan Africa,LIDC,0,1,0,1,1,0,1,1,0,0,0,1,0
THA,Thailand,0,1,East Asia & Pacific,EM,0,0,1,1,0,0,0,0,1,0,0,0,0
TLS,Timor-Leste,0,1,East Asia & Pacific,LIDC,0,1,0,1,1,1,1,0,0,0,1,0,0
TGO,Togo,0,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,1,0,0,0,1,0
TON,Tonga,1,1,East Asia & Pacific,EM,0,0,1,1,0,1,1,0,0,1,0,0,0
TUN,Tunisia,1,1,Middle East & North Africa,EM,0,1,0,1,0,0,0,0,0,1,0,0,0
TUR,Türkiye,0,1,Europe & Central Asia,EM,0,0,1,1,0,0,0,0,1,0,0,0,0
TKM,Turkmenistan,0,1,Europe & Central Asia,EM,0,0,1,1,0,0,0,0,0,1,0,0,1
TUV,Tuvalu,1,1,East Asia & Pacific,EM,0,0,1,1,1,1,1,0,0,0,1,0,0
UGA,Uganda,0,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,1,0,0,0,1,1
UKR,Ukraine,1,1,Europe & Central Asia,EM,0,1,0,1,0,0,0,0,0,1,0,0,0
UZB,Uzbekistan,0,1,Europe & Central Asia,LIDC,0,1,0,1,0,0,1,0,0,1,0,0,1
VUT,Vanuatu,0,1,East Asia & Pacific,EM,0,1,0,1,0,1,1,0,0,0,1,0,0
VEN,"Venezuela, RB",1,1,Latin America & Caribbean,EM,0,0,0,0,0,0,0,0,0,0,1,0,0
VNM,Vietnam,0,1,East Asia & Pacific,LIDC,0,1,0,1,0,0,0,0,0,1,0,0,0
YEM,"Yemen, Rep.",0,1,Middle East & North Africa,LIDC,1,0,0,0,1,0,1,0,0,0,0,1,0
ZMB,Zambia,1,1,Sub-Saharan Africa,LIDC,1,0,0,0,1,0,1,1,0,0,1,0,1
ZWE,Zimbabwe,1,1,Sub-Saharan Africa,LIDC,0,1,0,1,0,0,1,0,0,0,1,0,1
